,original_language,original_title,popularity,title,vote_average,vote_count
240,en,Cool Hand Luke,21.851,Cool Hand Luke,7.744,1274
241,bn,পথের পাঁচালী,14.979,Pather Panchali,8.007,356
242,en,The Iron Giant,44.809,The Iron Giant,7.926,5131
243,en,It Happened One Night,13.98,It Happened One Night,7.9,1098
244,en,The Help,61.15,The Help,8.202,7588
245,fr,Les Quatre Cents Coups,14.289,The 400 Blows,8.1,1950
246,sv,Persona,21.229,Persona,8.218,1945
247,en,Life of Brian,20.255,Life of Brian,7.756,4030
248,en,Aladdin,44.335,Aladdin,7.112,9476
249,hi,गैंग्स ऑफ़ वास्सेपुर पार्ट - १,10.137,Gangs of Wasseypur - Part 1,7.147,331
